module,type,entity_id,file,line
DV,input_boolean,input_boolean.dv_vmc_adaptive_learning_enabled,DV_v4_2/yaml_zone_obligatorios/dv_vmc_logic.yaml,620
DV,input_boolean,input_boolean.dv_vmc_adaptive_thresholds_enabled,DV_v4_2/yaml_zone_obligatorios/dv_vmc_logic.yaml,623
DV,input_boolean,input_boolean.dv_vmc_auto,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,735
DV,input_boolean,input_boolean.dv_vmc_auto_lock,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,747
DV,input_boolean,input_boolean.dv_vmc_backup_restore_timers,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,771
DV,input_boolean,input_boolean.dv_vmc_bootstrap_done,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,744
DV,input_boolean,input_boolean.dv_vmc_dew_risk_sim,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,732
DV,input_boolean,input_boolean.dv_vmc_driver_busy,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,741
DV,input_boolean,input_boolean.dv_vmc_dry_mode,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,777
DV,input_boolean,input_boolean.dv_vmc_ducha_bano_dormitorio,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,729
DV,input_boolean,input_boolean.dv_vmc_ducha_bano_pasillo,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,726
DV,input_boolean,input_boolean.dv_vmc_filtros_aviso_enviado,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,774
DV,input_boolean,input_boolean.dv_vmc_freecool_enabled,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,788
DV,input_boolean,input_boolean.dv_vmc_modo_automatico,DV_v4_2/yaml_zone_obligatorios/dv_vmc_inputs.yaml,780
