module,type,entity_id,file,line
DC,input_boolean,input_boolean.dc_bh_calor,DC_v4_2/yaml_common_obligatorios/dc_common_inputs.yaml,76
DC,input_boolean,input_boolean.dc_bh_frio,DC_v4_2/yaml_common_obligatorios/dc_common_inputs.yaml,79
DC,input_boolean,input_boolean.dc_bp_calor,DC_v4_2/yaml_common_obligatorios/dc_common_inputs.yaml,82
DC,input_boolean,input_boolean.dc_bp_frio,DC_v4_2/yaml_common_obligatorios/dc_common_inputs.yaml,85
DC,input_boolean,input_boolean.dc_debug_base_activa,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,362
DC,input_boolean,input_boolean.dc_debug_bias_exterior,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,374
DC,input_boolean,input_boolean.dc_debug_bias_fachadas,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,377
DC,input_boolean,input_boolean.dc_debug_bias_tendencia,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,383
DC,input_boolean,input_boolean.dc_debug_bias_vmc,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,380
DC,input_boolean,input_boolean.dc_debug_freno_tendencia,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,386
DC,input_boolean,input_boolean.dc_debug_help_base_activa,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,332
DC,input_boolean,input_boolean.dc_debug_help_bias_exterior,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,344
DC,input_boolean,input_boolean.dc_debug_help_bias_fachadas,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,347
DC,input_boolean,input_boolean.dc_debug_help_bias_tendencia,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,353
DC,input_boolean,input_boolean.dc_debug_help_bias_vmc,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,350
DC,input_boolean,input_boolean.dc_debug_help_freno_tendencia,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,356
DC,input_boolean,input_boolean.dc_debug_help_lead_final,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,359
DC,input_boolean,input_boolean.dc_debug_help_target_final,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,341
DC,input_boolean,input_boolean.dc_debug_help_target_limitado,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,338
DC,input_boolean,input_boolean.dc_debug_help_target_raw,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,335
DC,input_boolean,input_boolean.dc_debug_lead_final,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,389
DC,input_boolean,input_boolean.dc_debug_target_final,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,371
DC,input_boolean,input_boolean.dc_debug_target_limitado,DC_v4_2/yaml_common_obligatorios/dc_common_scripts.yaml,368
